UserID,CHANNEL2,VIEW_DATE,VIEW_TIME,VIEW_DAYNAME,DAY_BUCKET,DURATION_2,NAME,SURNAME,EMAIL,GENDER,RACE,AGE_CATEGORY,PROVINCE
903994,Trace TV,2016-01-04,18:09:00.000,Mon,WEEKDAY,00:02:00.000,Bernardo ,Hier,Bernardo 323@mail.com,male,coloured,Young Adult,Western Cape
802352,ICC Cricket World Cup 2011,2016-03-30,09:04:00.000,Wed,WEEKDAY,00:10:06.000,None,None,Shelley 34@abcmail.com,None,None,Children,None
866125,ICC Cricket World Cup 2011,2016-03-30,17:01:00.000,Wed,WEEKDAY,00:00:42.000,Emerson ,Mccollum,Emerson 243@mail.com,male,indian_asian,Young Adult,Gauteng
2425604,ICC Cricket World Cup 2011,2016-03-25,15:23:00.000,Fri,WEEKDAY,00:00:10.000,Tiffani ,Pilot,Tiffani 433@mail.com,female,white,Adult,Gauteng
793571,SawSee,2016-02-02,17:18:00.000,Tue,WEEKDAY,00:01:33.000,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,Children,Eastern Cape
793571,Boomerang,2016-03-18,16:56:00.000,Fri,WEEKDAY,00:00:10.000,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,Children,Eastern Cape
793571,Channel O,2016-03-20,04:25:00.000,Sun,WEEKEND,00:17:15.000,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,Children,Eastern Cape
793571,Boomerang,2016-02-03,06:43:00.000,Wed,WEEKDAY,00:01:13.000,Shelley ,Reisinger,Shelley 234@abcmail.com,female,white,Children,Eastern Cape
819248,Channel O,2016-03-31,10:01:00.000,Thu,WEEKDAY,00:04:45.000,None,None,Bess 381@yahoo.com,None,None,Children,None
820321,Cartoon Network,2016-01-09,08:25:00.000,Sat,WEEKEND,00:00:40.000,Haywood ,Singer,Haywood 92@gmail.com,male,indian_asian,Young Adult,Kwazulu Natal
892453,Supersport Live Events,2016-03-24,09:09:00.000,Thu,WEEKDAY,00:00:06.000,Eli ,Caves,Eli 291@yahoo.com,male,indian_asian,Young Adult,Gauteng
892453,ICC Cricket World Cup 2011,2016-03-26,15:33:00.000,Sat,WEEKEND,05:01:12.000,Eli ,Caves,Eli 291@yahoo.com,male,indian_asian,Young Adult,Gauteng
828799,Channel O,2016-02-28,08:09:00.000,Sun,WEEKEND,00:00:00.000,Romeo ,Mastrangelo,Romeo 375@mailxyz.com,male,None,Adult,Mpumalanga
787656,Channel O,2016-02-15,08:40:00.000,Mon,WEEKDAY,00:11:15.000,Garry ,Sytsma,Garry 284@abcmail.com,male,black,Young Adult,Gauteng
939566,Supersport Live Events,2016-01-09,15:40:00.000,Sat,WEEKEND,00:22:02.000,Bret ,Holt,Bret 314@abcmail.com,male,None,Young Adult,Mpumalanga
771778,Supersport Live Events,2016-02-05,13:47:00.000,Fri,WEEKDAY,00:04:12.000,Yong ,Paradis,Yong 484@abcmail.com,male,black,Young Adult,Eastern Cape
808915,SuperSport Blitz,2016-02-20,05:34:00.000,Sat,WEEKEND,00:01:14.000,Cory ,Mcclaine,Cory 105@mailxyz.com,male,black,Adult,Kwazulu Natal
808915,Supersport Live Events,2016-02-21,13:45:00.000,Sun,WEEKEND,00:00:50.000,Cory ,Mcclaine,Cory 105@mailxyz.com,male,black,Adult,Kwazulu Natal
808916,E! Entertainment,2016-02-19,11:03:00.000,Fri,WEEKDAY,00:01:42.000,Donald ,Zweifel,Donald 224@abcmail.com,male,None,Adult,Western Cape
808916,Boomerang,2016-02-19,20:15:00.000,Fri,WEEKDAY,00:00:00.000,Donald ,Zweifel,Donald 224@abcmail.com,male,None,Adult,Western Cape
831679,Supersport Live Events,2016-03-01,03:17:00.000,Tue,WEEKDAY,00:00:50.000,Hugh,Luthy,Hugh13@mail.com,male,coloured,Young Adult,Gauteng
808917,Break in transmission,2016-02-27,18:13:00.000,Sat,WEEKEND,00:00:26.000,Carter ,Tatham,Carter 34@abcmail.com,male,black,Young Adult,Gauteng
808917,Supersport Live Events,2016-02-28,20:20:00.000,Sun,WEEKEND,00:00:24.000,Carter ,Tatham,Carter 34@abcmail.com,male,black,Young Adult,Gauteng
939570,kykNET,2016-03-30,23:52:00.000,Wed,WEEKDAY,00:01:24.000,Emerson ,Marek,Emerson 244@abcmail.com,male,None,Young Adult,Gauteng
880213,Africa Magic,2016-03-30,19:13:00.000,Wed,WEEKDAY,00:00:11.000,Samuel ,Wigfall,Samuel 265@mailxyz.com,male,indian_asian,Young Adult,Gauteng
2255459,SawSee,2016-03-09,08:51:00.000,Wed,WEEKDAY,00:00:15.000,Michel ,Reisinger,Michel 201@yahoo.com,male,black,Young Adult,Mpumalanga
2255459,Channel O,2016-03-29,02:23:00.000,Tue,WEEKDAY,00:07:54.000,Michel ,Reisinger,Michel 201@yahoo.com,male,black,Young Adult,Mpumalanga
808921,Trace TV,2016-03-02,06:01:00.000,Wed,WEEKDAY,00:18:27.000,Filiberto ,Pilot,Filiberto 44@abcmail.com,male,black,Young Adult,Mpumalanga
